country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Mexico,1989,male,75+ years,83,476000,17.44,Mexico1989,,"222,977,046,516",3125,G.I. Generation
Mexico,1989,male,55-74 years,212,2613000,8.11,Mexico1989,,"222,977,046,516",3125,G.I. Generation
Mexico,1989,male,35-54 years,404,6586000,6.13,Mexico1989,,"222,977,046,516",3125,Silent
Mexico,1989,male,25-34 years,369,6109000,6.04,Mexico1989,,"222,977,046,516",3125,Boomers
Mexico,1989,male,15-24 years,472,9284000,5.08,Mexico1989,,"222,977,046,516",3125,Generation X
Mexico,1989,female,35-54 years,79,6807000,1.16,Mexico1989,,"222,977,046,516",3125,Silent
Mexico,1989,female,15-24 years,96,9111000,1.05,Mexico1989,,"222,977,046,516",3125,Generation X
Mexico,1989,female,25-34 years,64,6186000,1.03,Mexico1989,,"222,977,046,516",3125,Boomers
Mexico,1989,female,55-74 years,27,2961000,0.91,Mexico1989,,"222,977,046,516",3125,G.I. Generation
Mexico,1989,female,75+ years,5,632000,0.79,Mexico1989,,"222,977,046,516",3125,G.I. Generation
Mexico,1989,male,5-14 years,40,10466000,0.38,Mexico1989,,"222,977,046,516",3125,Generation X
Mexico,1989,female,5-14 years,14,10128000,0.14,Mexico1989,,"222,977,046,516",3125,Generation X
Mexico,1990,male,75+ years,87,489000,17.79,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
Mexico,1990,male,55-74 years,224,2709000,8.27,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
Mexico,1990,male,35-54 years,437,6812000,6.42,Mexico1990,0.648,"262,709,948,091",3595,Silent
Mexico,1990,male,25-34 years,387,6347000,6.1,Mexico1990,0.648,"262,709,948,091",3595,Boomers
Mexico,1990,male,15-24 years,472,9501000,4.97,Mexico1990,0.648,"262,709,948,091",3595,Generation X
Mexico,1990,female,15-24 years,114,9327000,1.22,Mexico1990,0.648,"262,709,948,091",3595,Generation X
Mexico,1990,female,55-74 years,34,3073000,1.11,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
Mexico,1990,female,25-34 years,57,6426000,0.89,Mexico1990,0.648,"262,709,948,091",3595,Boomers
Mexico,1990,female,35-54 years,58,7045000,0.82,Mexico1990,0.648,"262,709,948,091",3595,Silent
Mexico,1990,female,75+ years,5,650900,0.77,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
Mexico,1990,male,5-14 years,41,10518000,0.39,Mexico1990,0.648,"262,709,948,091",3595,Generation X
Mexico,1990,female,5-14 years,10,10179000,0.1,Mexico1990,0.648,"262,709,948,091",3595,Generation X
Mexico,1991,male,75+ years,73,500300,14.59,Mexico1991,,"314,454,015,372",4204,G.I. Generation
Mexico,1991,male,55-74 years,240,2799000,8.57,Mexico1991,,"314,454,015,372",4204,Silent
Mexico,1991,male,25-34 years,430,6592000,6.52,Mexico1991,,"314,454,015,372",4204,Boomers
Mexico,1991,male,35-54 years,440,7060000,6.23,Mexico1991,,"314,454,015,372",4204,Boomers
Mexico,1991,male,15-24 years,560,9666000,5.79,Mexico1991,,"314,454,015,372",4204,Generation X
Mexico,1991,female,75+ years,8,667000,1.2,Mexico1991,,"314,454,015,372",4204,G.I. Generation
Mexico,1991,female,15-24 years,113,9492000,1.19,Mexico1991,,"314,454,015,372",4204,Generation X
Mexico,1991,female,25-34 years,72,6672000,1.08,Mexico1991,,"314,454,015,372",4204,Boomers
Mexico,1991,female,35-54 years,75,7306000,1.03,Mexico1991,,"314,454,015,372",4204,Boomers
Mexico,1991,female,55-74 years,28,3182000,0.88,Mexico1991,,"314,454,015,372",4204,Silent
Mexico,1991,male,5-14 years,46,10601000,0.43,Mexico1991,,"314,454,015,372",4204,Millenials
Mexico,1991,female,5-14 years,18,10259000,0.18,Mexico1991,,"314,454,015,372",4204,Millenials
Mexico,1992,male,75+ years,95,549600,17.29,Mexico1992,,"363,609,163,462",4830,G.I. Generation
Mexico,1992,male,55-74 years,243,2862600,8.49,Mexico1992,,"363,609,163,462",4830,Silent
Mexico,1992,male,25-34 years,484,6347100,7.63,Mexico1992,,"363,609,163,462",4830,Boomers
Mexico,1992,male,35-54 years,482,7168700,6.72,Mexico1992,,"363,609,163,462",4830,Boomers
Mexico,1992,male,15-24 years,554,9572400,5.79,Mexico1992,,"363,609,163,462",4830,Generation X
Mexico,1992,female,15-24 years,126,9605800,1.31,Mexico1992,,"363,609,163,462",4830,Generation X
Mexico,1992,female,25-34 years,84,6654900,1.26,Mexico1992,,"363,609,163,462",4830,Boomers
Mexico,1992,female,75+ years,8,730100,1.1,Mexico1992,,"363,609,163,462",4830,G.I. Generation
Mexico,1992,female,55-74 years,33,3193600,1.03,Mexico1992,,"363,609,163,462",4830,Silent
Mexico,1992,female,35-54 years,66,7544500,0.87,Mexico1992,,"363,609,163,462",4830,Boomers
Mexico,1992,male,5-14 years,41,10704300,0.38,Mexico1992,,"363,609,163,462",4830,Millenials
Mexico,1992,female,5-14 years,21,10352200,0.2,Mexico1992,,"363,609,163,462",4830,Millenials
Mexico,1993,male,75+ years,95,560100,16.96,Mexico1993,,"500,736,065,605",6518,G.I. Generation
Mexico,1993,male,55-74 years,255,2963500,8.6,Mexico1993,,"500,736,065,605",6518,Silent
Mexico,1993,male,25-34 years,488,6543100,7.46,Mexico1993,,"500,736,065,605",6518,Boomers
Mexico,1993,male,35-54 years,546,7427100,7.35,Mexico1993,,"500,736,065,605",6518,Boomers
Mexico,1993,male,15-24 years,582,9745400,5.97,Mexico1993,,"500,736,065,605",6518,Generation X
Mexico,1993,female,15-24 years,126,9764500,1.29,Mexico1993,,"500,736,065,605",6518,Generation X
Mexico,1993,female,35-54 years,83,7837300,1.06,Mexico1993,,"500,736,065,605",6518,Boomers
Mexico,1993,female,55-74 years,32,3305700,0.97,Mexico1993,,"500,736,065,605",6518,Silent
Mexico,1993,female,25-34 years,64,6871000,0.93,Mexico1993,,"500,736,065,605",6518,Boomers
Mexico,1993,female,75+ years,6,745600,0.8,Mexico1993,,"500,736,065,605",6518,G.I. Generation
Mexico,1993,male,5-14 years,45,10712100,0.42,Mexico1993,,"500,736,065,605",6518,Millenials
Mexico,1993,female,5-14 years,20,10351400,0.19,Mexico1993,,"500,736,065,605",6518,Millenials
Mexico,1994,male,75+ years,100,573400,17.44,Mexico1994,,"527,813,238,126",6735,G.I. Generation
